year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
,,,,,1991/11/14 15:00,,,,,,
1991,199123,露絲,RUTH,---,1991/10/26 09:50,強烈,910,58,350,150,17
,,,,,1991/10/30 09:30,,,,,,
1991,199120,耐特,NAT,特殊,1991/9/22 10:45,強烈,945,51,200,80,11
,,,,,1991/9/24 18:30,,,,,,
,,,,,1991/9/30 10:45,輕度,945,30,150,50,9
,,,,,1991/10/2 06:30,,,,,,
1991,199119,密瑞兒,MIREILLE,---,1991/9/25 08:30,強烈,925,53,300,150,9
,,,,,1991/9/27 06:30,,,,,,
1991,199111,愛麗,ELLIE,2,1991/8/16 03:30,中度,965,33,150,50,12
,,,,,1991/8/18 20:10,,,,,,
1991,199108,布籃登,BRENDAN,---,1991/7/22 16:10,中度,978,33,250,100,6
,,,,,1991/7/23 18:30,,,,,,
1991,199107,艾美,AMY,5,1991/7/17 16:00,強烈,950,51,300,180,10
,,,,,1991/7/19 21:10,,,,,,
1990,199018,艾德,ED,---,1990/9/14 02:40,中度,960,33,200,50,6
,,,,,1990/9/15 10:00,,,,,,
1990,199017,黛特,DOT,3,1990/9/6 09:50,中度,960,38,350,100,11
,,,,,1990/9/8 21:10,,,,,,
1990,199015,蓓琪,BECKY,---,1990/8/26 04:40,輕度,970,30,250,80,6
,,,,,1990/8/27 09:20,,,,,,
1990,199014,亞伯,ABE,1,1990/8/29 09:20,中度,955,45,250,120,9
,,,,,1990/8/31 09:10,,,,,,
1990,199012,楊希,YANCY,2,1990/8/17 09:50,中度,960,40,200,100,14
,,,,,1990/8/20 15:30,,,,,,
1990,199007,蘿繽,ROBYN,---,1990/7/9 10:40,輕度,990,20,150,---,7
,,,,,1990/7/10 21:00,,,,,,
1990,199006,波西,PERCY,---,1990/6/26 16:00,強烈,950,51,250,120,16
,,,,,1990/6/30 09:00,,,,,,
1990,199005,歐菲莉,OFELIA,6,1990/6/21 16:00,中度,968,38,200,100,13
,,,,,1990/6/24 15:10,,,,,,
1990,199003,瑪麗安,MARIAN,9,1990/5/18 09:30,中度,960,40,250,100,6
,,,,,1990/5/19 14:50,,,,,,
1989,198923,安吉菈,ANGELA,---,1989/10/5 09:30,強烈,930,67,250,120,9
,,,,,1989/10/7 09:40,,,,,,
1989,198921,薇拉,VERA,---,1989/9/14 15:40,輕度,985,25,200,---,6
,,,,,1989/9/15 20:30,,,,,,
1989,198919,莎拉,SARAH,3,1989/9/8 09:50,強烈,952,51,300,150,23
,,,,,1989/9/13 20:30,,,,,,
1989,198913,羅拉,LOLA,---,1989/7/31 21:30,輕度,980,28,250,---,11
,,,,,1989/8/3 09:10,,,,,,
1989,198909,賀璞,HOPE,---,1989/7/18 09:20,輕度,990,25,150,---,6
,,,,,1989/7/19 15:00,,,,,,
1989,198908,戈登,GORDON,---,1989/7/15 09:35,強烈,920,65,300,150,11
